Size,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,Type
10000,187,126,25,,random
20000,798,499,99,,random
30000,1850,1145,232,,random
40000,3241,2004,399,,random
50000,5153,3168,642,,random
60000,7426,4536,902,,random
70000,10094,6169,1244,,random
80000,13276,8097,1599,,random
90000,16859,10234,2028,,random
100000,20769,12634,2518,,random
10000,25,37,24,22,sorted
20000,100,152,101,77,sorted
30000,223,328,223,176,sorted
40000,406,637,395,303,sorted
50000,629,943,620,466,sorted
60000,908,1331,906,685,sorted
70000,1303,1814,1226,927,sorted
80000,1614,2478,1613,1222,sorted
90000,2050,2910,2012,1556,sorted
100000,2525,3903,2540,1886,sorted
10000,229,224,24,21,inverted
20000,907,904,98,86,inverted
30000,2044,2040,218,198,inverted
40000,3615,3620,394,355,inverted
50000,5740,5632,616,549,inverted
60000,8155,8091,878,787,inverted
70000,11175,11014,1183,1095,inverted
80000,14615,14543,1532,1409,inverted
90000,18496,18336,1932,1807,inverted
100000,22701,22661,2459,2205,inverted
10000,25,42,24,18,same
20000,102,173,98,74,same
30000,228,346,220,168,same
40000,398,546,392,304,same
50000,626,872,621,463,same
60000,902,1343,893,679,same
70000,1236,1935,1214,926,same
80000,1627,2311,1587,1228,same
90000,2072,3152,2016,1528,same
100000,2568,3934,2520,1907,same
10000,181,160,25,,random2
20000,783,496,101,,random2
30000,1810,1122,222,,random2
40000,3265,2016,420,,random2
50000,5176,3157,614,,random2
60000,7420,4572,912,,random2
70000,10107,6112,1205,,random2
80000,13204,8084,1634,,random2
90000,16786,10178,2012,,random2
100000,20705,12587,2499,,random2
